Day,Calories,EnoughFiber
1,1677,No
2,1683,No
3,1686,No
4,1684,No
5,1682,No
6,1068,No
7,1680,No
8,2250,Yes
9,1686,No
10,1689,No
11,1686,No
12,1683,No
13,1609,No
14,1509,No
15,1550,No
16,1590,No
17,1656,No
18,1687,No
19,1700,No
20,1690,No
21,1645,No
22,1634,No
23,1730,No
24,1520,No
25,1407,No
26,2100,Yes
27,1680,No
28,1650,No
29,1684,No
30,1680,No
31,1500,No
32,1484,No
33,1508,No
34,1900,Yes
35,1584,No
36,1650,No
37,1686,No
38,2200,Yes
39,1607,No
40,1670,No
41,1560,No
42,1700,No
43,1687,No
44,1750,No
45,1687,No
46,1658,No
47,1590,No
48,1679,No
49,1700,No
50,1698,Yes
